2024-04-15 17:35:33,103 This is a warning message
2024-04-15 17:38:06,204 This is a debug message
2024-04-15 17:38:18,585 This is an error message
2024-04-15 17:41:00,339 root WARNING  This is a warning message
2024-04-15 21:44:06,094 root INFO  this is the start of my first for loop [[1, 2, 3, 4], ('varun', 'deepika', 'neha'), 9, 8, 7, 6]
2024-04-15 21:44:06,094 root INFO  this is the value of i am logging 7
2024-04-15 21:44:06,094 root INFO  this is the start of my first for loop [[1, 2, 3, 4], ('varun', 'deepika', 'neha'), 9, 8, 7, 6]
2024-04-15 21:44:06,094 root INFO  this is the value of i am logging 6
2024-04-15 21:45:58,712 root INFO  this is the start of my first for loop [[1, 2, 3, 4], ('varun', 'deepika', 'neha'), 9, 8, 7, 6]
2024-04-15 21:45:58,712 root INFO  this is the value of i am logging [1, 2, 3, 4]
2024-04-15 21:45:58,713 root INFO  this is the value of j 1 and i is [1, 2, 3, 4]
2024-04-15 21:45:58,713 root INFO  this is the value of j 2 and i is [1, 2, 3, 4]
2024-04-15 21:45:58,713 root INFO  this is the value of j 3 and i is [1, 2, 3, 4]
2024-04-15 21:45:58,713 root INFO  this is the value of j 4 and i is [1, 2, 3, 4]
2024-04-15 21:45:58,713 root INFO  this is the start of my first for loop [[1, 2, 3, 4], ('varun', 'deepika', 'neha'), 9, 8, 7, 6]
2024-04-15 21:45:58,713 root INFO  this is the value of i am logging ('varun', 'deepika', 'neha')
2024-04-15 21:45:58,713 root INFO  this is the start of my first for loop [[1, 2, 3, 4], ('varun', 'deepika', 'neha'), 9, 8, 7, 6]
2024-04-15 21:45:58,713 root INFO  this is the value of i am logging 9
2024-04-15 21:45:58,713 root INFO  this is the start of my first for loop [[1, 2, 3, 4], ('varun', 'deepika', 'neha'), 9, 8, 7, 6]
2024-04-15 21:45:58,713 root INFO  this is the value of i am logging 8
2024-04-15 21:45:58,713 root INFO  this is the start of my first for loop [[1, 2, 3, 4], ('varun', 'deepika', 'neha'), 9, 8, 7, 6]
2024-04-15 21:45:58,713 root INFO  this is the value of i am logging 7
2024-04-15 21:45:58,713 root INFO  this is the start of my first for loop [[1, 2, 3, 4], ('varun', 'deepika', 'neha'), 9, 8, 7, 6]
2024-04-15 21:45:58,713 root INFO  this is the value of i am logging 6
2024-04-15 21:45:58,713 root INFO  this is the value of my integer list [1, 2, 3, 4, 9, 8, 7, 6] and string list ['varun', 'deepika', 'neha']
2024-04-16 12:35:30,659 Number cannot be divisible by 0!
2024-04-16 12:36:18,649 Number cannot be divisible by 0!
2024-04-16 12:37:23,640 Number cannot be divisible by 0!
2024-04-16 12:43:48,896 There is no file present with the name.
2024-04-16 12:44:24,602 Number cannot be divisible by 0!
2024-04-16 12:44:25,411 There is no file present with the name.
